Date	Time	uC Clock [ms]	Packet Number	Payload	RSSI [dBm]	Light [rel]	Humidity [%]	Temperature [C]
2017-11-30	16:31:42.036254	3358702	223	223 516 41.10 21.10 Decir adios es crecer	-86	516	41.10	21.10
2017-11-30	16:31:52.373686	3369037	224	224 397 41.40 21.00 Decir adios es crecer	-83	397	41.40	21.00
2017-11-30	16:32:02.711202	3379373	225	225 452 41.50 21.00 Decir adios es crecer	-82	452	41.50	21.00
2017-11-30	16:32:13.048573	3389708	226	226 468 41.60 21.00 Decir adios es crecer	-85	468	41.60	21.00
2017-11-30	16:32:23.385838	3400043	227	227 465 41.60 20.90 Decir adios es crecer	-78	465	41.60	20.90
			228	    				
2017-11-30	16:32:44.372274	3420715	229	229 489 41.60 20.90 Decir adios es crecer	-82	489	41.60	20.90
2017-11-30	16:32:54.397617	3431049	230	230 468 41.80 20.90 Decir adios es crecer	-86	468	41.80	20.90
2017-11-30	16:33:04.734908	3441384	231	231 480 42.00 20.80 Decir adios es crecer	-87	480	42.00	20.80
2017-11-30	16:33:15.072256	3451719	232	232 506 42.10 20.80 Decir adios es crecer	-90	506	42.10	20.80
2017-11-30	16:33:25.409572	3462054	233	233 424 41.90 20.80 Decir adios es crecer	-92	424	41.90	20.80
2017-11-30	16:33:35.746936	3472390	234	234 480 42.10 20.80 Decir adios es crecer	-87	480	42.10	20.80
2017-11-30	16:33:46.084483	3482726	235	235 479 42.20 20.70 Decir adios es crecer	-83	479	42.20	20.70
2017-11-30	16:33:56.422033	3493061	236	236 526 42.50 20.70 Decir adios es crecer	-89	526	42.50	20.70
2017-11-30	16:34:06.759670	3503396	237	237 504 42.70 20.70 Decir adios es crecer	-89	504	42.70	20.70
2017-11-30	16:34:17.097148	3513732	238	238 492 42.40 20.70 Decir adios es crecer	-82	492	42.40	20.70
2017-11-30	16:34:27.434694	3524067	239	239 475 42.10 20.60 Decir adios es crecer	-90	475	42.10	20.60
2017-11-30	16:34:37.772150	3534402	240	240 463 42.20 20.60 Decir adios es crecer	-93	463	42.20	20.60
2017-11-30	16:34:48.109669	3544738	241	241 465 42.50 20.60 Decir adios es crecer	-89	465	42.50	20.60
2017-11-30	16:34:58.447282	3555074	242	242 492 42.80 20.60 Decir adios es crecer	-90	492	42.80	20.60
			243	    				
2017-11-30	16:35:19.437185	3575744	244	244 479 42.80 20.50 Decir adios es crecer	-86	479	42.80	20.50
2017-11-30	16:35:29.517953	3586138	245	245 451 42.90 20.50 Decir adios es crecer	-91	451	42.90	20.50
2017-11-30	16:35:39.855506	3596473	246	246 492 43.20 20.50 Decir adios es crecer	-89	492	43.20	20.50
2017-11-30	16:35:50.192885	3606808	247	247 460 43.40 20.50 Decir adios es crecer	-94	460	43.40	20.50
2017-11-30	16:36:00.530315	3617143	248	248 778 43.60 20.50 Decir adios es crecer	-89	778	43.60	20.50
2017-11-30	16:36:10.867879	3627479	249	249 568 43.70 20.50 Decir adios es crecer	-91	568	43.70	20.50
2017-11-30	16:36:26.475261	3643083	250	250 447 43.90 20.50 Decir adios es crecer	-93	447	43.90	20.50
2017-11-30	16:36:36.812782	3653419	251	251 546 44.20 20.50 Decir adios es crecer	-90	546	44.20	20.50
2017-11-30	16:36:47.150387	3663754	252	252 429 44.30 20.50 Decir adios es crecer	-92	429	44.30	20.50
2017-11-30	16:37:01.516516	3678116	253	253 498 44.50 20.50 Decir adios es crecer	-93	498	44.50	20.50
2017-11-30	16:37:35.877311	3712471	254	254 479 44.50 20.50 Decir adios es crecer	-95	479	44.50	20.50
2017-11-30	16:37:46.214709	3722806	255	255 286 44.80 20.60 Decir adios es crecer	-94	286	44.80	20.60
			256	    				
2017-11-30	16:38:07.210094	3743477	257	257 415 44.40 20.60 Decir adios es crecer	-91	415	44.40	20.60
			258	    				
2017-11-30	16:38:27.873151	3764148	259	259 431 44.40 20.60 Decir adios es crecer	-91	431	44.40	20.60
2017-11-30	16:38:37.902349	3774483	260	260 431 44.50 20.60 Decir adios es crecer	-91	431	44.50	20.60
2017-11-30	16:38:48.239841	3784818	261	261 444 44.50 20.60 Decir adios es crecer	-94	444	44.50	20.60
2017-11-30	16:38:58.577416	3795154	262	262 476 44.30 20.60 Decir adios es crecer	-94	476	44.30	20.60
2017-11-30	16:39:08.914896	3805490	263	263 733 44.20 20.60 Decir adios es crecer	-92	733	44.20	20.60
			264	    				
2017-11-30	16:39:29.903412	3826160	265	265 436 44.00 20.70 Decir adios es crecer	-95	436	44.00	20.70
2017-11-30	16:39:39.927446	3836495	266	266 746 43.80 20.70 Decir adios es crecer	-90	746	43.80	20.70
