inAir9 ready!
inAir9 freq: 915.00
inAir9 LoRa mod10
inAir9 listening ...

219492 Rx, payload: Decir adios es crecer 111, rssi: -17
221509 Rx, payload: Decir adios es crecer 112, rssi: -18
223526 Rx, payload: Decir adios es crecer 113, rssi: -18
225544 Rx, payload: Decir adios es crecer 114, rssi: -18
227559 Rx, payload: Decir adios es crecer 115, rssi: -18
229576 Rx, payload: Decir adios es crecer 116, rssi: -18
231593 Rx, payload: Decir adios es crecer 117, rssi: -17
233611 Rx, payload: Decir adios es crecer 118, rssi: -18
235628 Rx, payload: Decir adios es crecer 119, rssi: -18
237643 Rx, payload: Decir adios es crecer 120, rssi: -18
239661 Rx, payload: Decir adios es crecer 121, rssi: -18
241678 Rx, payload: Decir adios es crecer 122, rssi: -18
243695 Rx, payload: Decir adios es crecer 123, rssi: -17
245710 Rx, payload: Decir adios es crecer 124, rssi: -18
247728 Rx, payload: Decir adios es crecer 125, rssi: -18
249745 Rx, payload: Decir adios es crecer 126, rssi: -18
251762 Rx, payload: Decir adios es crecer 127, rssi: -18
253777 Rx, payload: Decir adios es crecer 128, rssi: -18
255795 Rx, payload: Decir adios es crecer 129, rssi: -18
257812 Rx, payload: Decir adios es crecer 130, rssi: -17
259829 Rx, payload: Decir adios es crecer 131, rssi: -18
261847 Rx, payload: Decir adios es crecer 132, rssi: -18
263862 Rx, payload: Decir adios es crecer 133, rssi: -18
265879 Rx, payload: Decir adios es crecer 134, rssi: -18
267896 Rx, payload: Decir adios es crecer 135, rssi: -18
269914 Rx, payload: Decir adios es crecer 136, rssi: -18
271929 Rx, payload: Decir adios es crecer 137, rssi: -18
273946 Rx, payload: Decir adios es crecer 138, rssi: -18
275963 Rx, payload: Decir adios es crecer 139, rssi: -18
277981 Rx, payload: Decir adios es crecer 140, rssi: -18
279998 Rx, payload: Decir adios es crecer 141, rssi: -18
282013 Rx, payload: Decir adios es crecer 142, rssi: -17
284030 Rx, payload: Decir adios es crecer 143, rssi: -18
286048 Rx, payload: Decir adios es crecer 144, rssi: -17
288065 Rx, payload: Decir adios es crecer 145, rssi: -18
290080 Rx, payload: Decir adios es crecer 146, rssi: -17
292098 Rx, payload: Decir adios es crecer 147, rssi: -18
294115 Rx, payload: Decir adios es crecer 148, rssi: -18
296132 Rx, payload: Decir adios es crecer 149, rssi: -18
298149 Rx, payload: Decir adios es crecer 150, rssi: -18
300165 Rx, payload: Decir adios es crecer 151, rssi: -17
302182 Rx, payload: Decir adios es crecer 152, rssi: -17
304199 Rx, payload: Decir adios es crecer 153, rssi: -18
306216 Rx, payload: Decir adios es crecer 154, rssi: -18
308232 Rx, payload: Decir adios es crecer 155, rssi: -18
310249 Rx, payload: Decir adios es crecer 156, rssi: -17
312266 Rx, payload: Decir adios es crecer 157, rssi: -18
314284 Rx, payload: Decir adios es crecer 158, rssi: -18
316301 Rx, payload: Decir adios es crecer 159, rssi: -18
318316 Rx, payload: Decir adios es crecer 160, rssi: -17
320333 Rx, payload: Decir adios es crecer 161, rssi: -18
322351 Rx, payload: Decir adios es crecer 162, rssi: -17
324368 Rx, payload: Decir adios es crecer 163, rssi: -17
326383 Rx, payload: Decir adios es crecer 164, rssi: -17
328400 Rx, payload: Decir adios es crecer 165, rssi: -18
330418 Rx, payload: Decir adios es crecer 166, rssi: -18
332435 Rx, payload: Decir adios es crecer 167, rssi: -18
334452 Rx, payload: Decir adios es crecer 168, rssi: -18
336467 Rx, payload: Decir adios es crecer 169, rssi: -18
338485 Rx, payload: Decir adios es crecer 170, rssi: -17
340502 Rx, payload: Decir adios es crecer 171, rssi: -18
342519 Rx, payload: Decir adios es crecer 172, rssi: -18
344535 Rx, payload: Decir adios es crecer 173, rssi: -18
346552 Rx, payload: Decir adios es crecer 174, rssi: -18
348569 Rx, payload: Decir adios es crecer 175, rssi: -17
350586 Rx, payload: Decir adios es crecer 176, rssi: -18
352604 Rx, payload: Decir adios es crecer 177, rssi: -17
354619 Rx, payload: Decir adios es crecer 178, rssi: -18
356636 Rx, payload: Decir adios es crecer 179, rssi: -18
358653 Rx, payload: Decir adios es crecer 180, rssi: -18
360671 Rx, payload: Decir adios es crecer 181, rssi: -17
362686 Rx, payload: Decir adios es crecer 182, rssi: -18
364703 Rx, payload: Decir adios es crecer 183, rssi: -18
366721 Rx, payload: Decir adios es crecer 184, rssi: -17
368738 Rx, payload: Decir adios es crecer 185, rssi: -18
370755 Rx, payload: Decir adios es crecer 186, rssi: -17
372770 Rx, payload: Decir adios es crecer 187, rssi: -18
374788 Rx, payload: Decir adios es crecer 188, rssi: -18
376805 Rx, payload: Decir adios es crecer 189, rssi: -17
378822 Rx, payload: Decir adios es crecer 190, rssi: -17
380837 Rx, payload: Decir adios es crecer 191, rssi: -17
382855 Rx, payload: Decir adios es crecer 192, rssi: -17
384872 Rx, payload: Decir adios es crecer 193, rssi: -17
386889 Rx, payload: Decir adios es crecer 194, rssi: -17
388907 Rx, payload: Decir adios es crecer 195, rssi: -17
390922 Rx, payload: Decir adios es crecer 196, rssi: -18
392939 Rx, payload: Decir adios es crecer 197, rssi: -18
394956 Rx, payload: Decir adios es crecer 198, rssi: -18
396974 Rx, payload: Decir adios es crecer 199, rssi: -16
398989 Rx, payload: Decir adios es crecer 200, rssi: -17
401006 Rx, payload: Decir adios es crecer 201, rssi: -18
403023 Rx, payload: Decir adios es crecer 202, rssi: -17
405041 Rx, payload: Decir adios es crecer 203, rssi: -17
407058 Rx, payload: Decir adios es crecer 204, rssi: -17
409073 Rx, payload: Decir adios es crecer 205, rssi: -17
411090 Rx, payload: Decir adios es crecer 206, rssi: -18
413108 Rx, payload: Decir adios es crecer 207, rssi: -17
415125 Rx, payload: Decir adios es crecer 208, rssi: -18
417140 Rx, payload: Decir adios es crecer 209, rssi: -17
419158 Rx, payload: Decir adios es crecer 210, rssi: -18
421175 Rx, payload: Decir adios es crecer 211, rssi: -18
423192 Rx, payload: Decir adios es crecer 212, rssi: -18
425209 Rx, payload: Decir adios es crecer 213, rssi: -18
427225 Rx, payload: Decir adios es crecer 214, rssi: -17
429242 Rx, payload: Decir adios es crecer 215, rssi: -18
431259 Rx, payload: Decir adios es crecer 216, rssi: -17
433276 Rx, payload: Decir adios es crecer 217, rssi: -18
435292 Rx, payload: Decir adios es crecer 218, rssi: -18
437309 Rx, payload: Decir adios es crecer 219, rssi: -18
439326 Rx, payload: Decir adios es crecer 220, rssi: -17
441344 Rx, payload: Decir adios es crecer 221, rssi: -17
443359 Rx, payload: Decir adios es crecer 222, rssi: -18
445376 Rx, payload: Decir adios es crecer 223, rssi: -17
447393 Rx, payload: Decir adios es crecer 224, rssi: -18
449411 Rx, payload: Decir adios es crecer 225, rssi: -18
451428 Rx, payload: Decir adios es crecer 226, rssi: -17
453443 Rx, payload: Decir adios es crecer 227, rssi: -18
455460 Rx, payload: Decir adios es crecer 228, rssi: -17
457478 Rx, payload: Decir adios es crecer 229, rssi: -17
459495 Rx, payload: Decir adios es crecer 230, rssi: -18
461512 Rx, payload: Decir adios es crecer 231, rssi: -17
463527 Rx, payload: Decir adios es crecer 232, rssi: -17
465545 Rx, payload: Decir adios es crecer 233, rssi: -18
467562 Rx, payload: Decir adios es crecer 234, rssi: -17
469579 Rx, payload: Decir adios es crecer 235, rssi: -17
471595 Rx, payload: Decir adios es crecer 236, rssi: -18
473612 Rx, payload: Decir adios es crecer 237, rssi: -18
475629 Rx, payload: Decir adios es crecer 238, rssi: -17
477646 Rx, payload: Decir adios es crecer 239, rssi: -17
479662 Rx, payload: Decir adios es crecer 240, rssi: -19
481679 Rx, payload: Decir adios es crecer 241, rssi: -18
483696 Rx, payload: Decir adios es crecer 242, rssi: -17
485713 Rx, payload: Decir adios es crecer 243, rssi: -18
487731 Rx, payload: Decir adios es crecer 244, rssi: -18
489746 Rx, payload: Decir adios es crecer 245, rssi: -18
491763 Rx, payload: Decir adios es crecer 246, rssi: -18
493780 Rx, payload: Decir adios es crecer 247, rssi: -18
495798 Rx, payload: Decir adios es crecer 248, rssi: -18
497815 Rx, payload: Decir adios es crecer 249, rssi: -18
499830 Rx, payload: Decir adios es crecer 250, rssi: -18
501848 Rx, payload: Decir adios es crecer 251, rssi: -17
503865 Rx, payload: Decir adios es crecer 252, rssi: -17
505882 Rx, payload: Decir adios es crecer 253, rssi: -18
507897 Rx, payload: Decir adios es crecer 254, rssi: -18
509915 Rx, payload: Decir adios es crecer 255, rssi: -17
511932 Rx, payload: Decir adios es crecer 256, rssi: -18
513949 Rx, payload: Decir adios es crecer 257, rssi: -18
515964 Rx, payload: Decir adios es crecer 258, rssi: -18
517982 Rx, payload: Decir adios es crecer 259, rssi: -17
519999 Rx, payload: Decir adios es crecer 260, rssi: -18
522016 Rx, payload: Decir adios es crecer 261, rssi: -17
524034 Rx, payload: Decir adios es crecer 262, rssi: -18
526049 Rx, payload: Decir adios es crecer 263, rssi: -17
528066 Rx, payload: Decir adios es crecer 264, rssi: -18
530083 Rx, payload: Decir adios es crecer 265, rssi: -18
532101 Rx, payload: Decir adios es crecer 266, rssi: -18
534116 Rx, payload: Decir adios es crecer 267, rssi: -18
536133 Rx, payload: Decir adios es crecer 268, rssi: -17
538150 Rx, payload: Decir adios es crecer 269, rssi: -17
540168 Rx, payload: Decir adios es crecer 270, rssi: -17
542185 Rx, payload: Decir adios es crecer 271, rssi: -18
544200 Rx, payload: Decir adios es crecer 272, rssi: -18
546217 Rx, payload: Decir adios es crecer 273, rssi: -18
548235 Rx, payload: Decir adios es crecer 274, rssi: -18
550252 Rx, payload: Decir adios es crecer 275, rssi: -18
552267 Rx, payload: Decir adios es crecer 276, rssi: -18
554285 Rx, payload: Decir adios es crecer 277, rssi: -17
556302 Rx, payload: Decir adios es crecer 278, rssi: -18
558319 Rx, payload: Decir adios es crecer 279, rssi: -18
560336 Rx, payload: Decir adios es crecer 280, rssi: -17
562352 Rx, payload: Decir adios es crecer 281, rssi: -18
564369 Rx, payload: Decir adios es crecer 282, rssi: -17
566386 Rx, payload: Decir adios es crecer 283, rssi: -17
568403 Rx, payload: Decir adios es crecer 284, rssi: -17
570419 Rx, payload: Decir adios es crecer 285, rssi: -17
572436 Rx, payload: Decir adios es crecer 286, rssi: -17
574453 Rx, payload: Decir adios es crecer 287, rssi: -17
576471 Rx, payload: Decir adios es crecer 288, rssi: -17
578488 Rx, payload: Decir adios es crecer 289, rssi: -17
580503 Rx, payload: Decir adios es crecer 290, rssi: -17
582520 Rx, payload: Decir adios es crecer 291, rssi: -17
584538 Rx, payload: Decir adios es crecer 292, rssi: -17
586555 Rx, payload: Decir adios es crecer 293, rssi: -17
588570 Rx, payload: Decir adios es crecer 294, rssi: -17
590587 Rx, payload: Decir adios es crecer 295, rssi: -17
592605 Rx, payload: Decir adios es crecer 296, rssi: -17
594622 Rx, payload: Decir adios es crecer 297, rssi: -17
596639 Rx, payload: Decir adios es crecer 298, rssi: -17
598654 Rx, payload: Decir adios es crecer 299, rssi: -17
600672 Rx, payload: Decir adios es crecer 300, rssi: -17
602689 Rx, payload: Decir adios es crecer 301, rssi: -17
604706 Rx, payload: Decir adios es crecer 302, rssi: -18
606722 Rx, payload: Decir adios es crecer 303, rssi: -18
608739 Rx, payload: Decir adios es crecer 304, rssi: -17
610756 Rx, payload: Decir adios es crecer 305, rssi: -19
612773 Rx, payload: Decir adios es crecer 306, rssi: -17
614791 Rx, payload: Decir adios es crecer 307, rssi: -18
616806 Rx, payload: Decir adios es crecer 308, rssi: -17
618823 Rx, payload: Decir adios es crecer 309, rssi: -18
620840 Rx, payload: Decir adios es crecer 310, rssi: -18
622858 Rx, payload: Decir adios es crecer 311, rssi: -18
624873 Rx, payload: Decir adios es crecer 312, rssi: -18
626890 Rx, payload: Decir adios es crecer 313, rssi: -17
628908 Rx, payload: Decir adios es crecer 314, rssi: -18
630925 Rx, payload: Decir adios es crecer 315, rssi: -18
632942 Rx, payload: Decir adios es crecer 316, rssi: -18
634957 Rx, payload: Decir adios es crecer 317, rssi: -18
636975 Rx, payload: Decir adios es crecer 318, rssi: -18
638992 Rx, payload: Decir adios es crecer 319, rssi: -18
641009 Rx, payload: Decir adios es crecer 320, rssi: -18
645042 Rx, payload: Decir adios es crecer 322, rssi: -18
647059 Rx, payload: Decir adios es crecer 323, rssi: -18
649076 Rx, payload: Decir adios es crecer 324, rssi: -18
651094 Rx, payload: Decir adios es crecer 325, rssi: -18
653109 Rx, payload: Decir adios es crecer 326, rssi: -18
655126 Rx, payload: Decir adios es crecer 327, rssi: -18
657143 Rx, payload: Decir adios es crecer 328, rssi: -17
659161 Rx, payload: Decir adios es crecer 329, rssi: -18
661176 Rx, payload: Decir adios es crecer 330, rssi: -17
663193 Rx, payload: Decir adios es crecer 331, rssi: -17
665210 Rx, payload: Decir adios es crecer 332, rssi: -17
667228 Rx, payload: Decir adios es crecer 333, rssi: -17
669245 Rx, payload: Decir adios es crecer 334, rssi: -17
671260 Rx, payload: Decir adios es crecer 335, rssi: -17
673277 Rx, payload: Decir adios es crecer 336, rssi: -18
675295 Rx, payload: Decir adios es crecer 337, rssi: -17
677312 Rx, payload: Decir adios es crecer 338, rssi: -18
679327 Rx, payload: Decir adios es crecer 339, rssi: -17
681345 Rx, payload: Decir adios es crecer 340, rssi: -18
683362 Rx, payload: Decir adios es crecer 341, rssi: -18
685379 Rx, payload: Decir adios es crecer 342, rssi: -17
687396 Rx, payload: Decir adios es crecer 343, rssi: -18
689412 Rx, payload: Decir adios es crecer 344, rssi: -18
691429 Rx, payload: Decir adios es crecer 345, rssi: -18
693446 Rx, payload: Decir adios es crecer 346, rssi: -18
695463 Rx, payload: Decir adios es crecer 347, rssi: -18
697479 Rx, payload: Decir adios es crecer 348, rssi: -18
699496 Rx, payload: Decir adios es crecer 349, rssi: -18
