inAir9 ready!
inAir9 freq: 915.00
inAir Tx power: 
inAir9 LoRa mod10
Begining Tx...

210098 Tx, payload: Decir adios es crecer, tx time: 16480 us
212117 Tx, payload: Decir adios es crecer, tx time: 16488 us
214134 Tx, payload: Decir adios es crecer, tx time: 16480 us
216154 Tx, payload: Decir adios es crecer, tx time: 16488 us
218171 Tx, payload: Decir adios es crecer, tx time: 16480 us
220190 Tx, payload: Decir adios es crecer, tx time: 16488 us
222208 Tx, payload: Decir adios es crecer, tx time: 16480 us
224227 Tx, payload: Decir adios es crecer, tx time: 16488 us
226244 Tx, payload: Decir adios es crecer, tx time: 16480 us
228263 Tx, payload: Decir adios es crecer, tx time: 16488 us
230281 Tx, payload: Decir adios es crecer, tx time: 16472 us
232300 Tx, payload: Decir adios es crecer, tx time: 16488 us
234317 Tx, payload: Decir adios es crecer, tx time: 16472 us
236337 Tx, payload: Decir adios es crecer, tx time: 16496 us
238354 Tx, payload: Decir adios es crecer, tx time: 16472 us
240373 Tx, payload: Decir adios es crecer, tx time: 16488 us
242391 Tx, payload: Decir adios es crecer, tx time: 16472 us
244410 Tx, payload: Decir adios es crecer, tx time: 16496 us
246427 Tx, payload: Decir adios es crecer, tx time: 16480 us
248446 Tx, payload: Decir adios es crecer, tx time: 16488 us
250464 Tx, payload: Decir adios es crecer, tx time: 16480 us
252483 Tx, payload: Decir adios es crecer, tx time: 16488 us
254500 Tx, payload: Decir adios es crecer, tx time: 16480 us
256520 Tx, payload: Decir adios es crecer, tx time: 16488 us
258537 Tx, payload: Decir adios es crecer, tx time: 16480 us
260556 Tx, payload: Decir adios es crecer, tx time: 16488 us
262574 Tx, payload: Decir adios es crecer, tx time: 16480 us
264593 Tx, payload: Decir adios es crecer, tx time: 16488 us
266610 Tx, payload: Decir adios es crecer, tx time: 16480 us
268630 Tx, payload: Decir adios es crecer, tx time: 16496 us
270647 Tx, payload: Decir adios es crecer, tx time: 16480 us
272666 Tx, payload: Decir adios es crecer, tx time: 16488 us
274683 Tx, payload: Decir adios es crecer, tx time: 16480 us
276703 Tx, payload: Decir adios es crecer, tx time: 16488 us
278720 Tx, payload: Decir adios es crecer, tx time: 16480 us
280739 Tx, payload: Decir adios es crecer, tx time: 16488 us
282757 Tx, payload: Decir adios es crecer, tx time: 16480 us
284776 Tx, payload: Decir adios es crecer, tx time: 16496 us
286793 Tx, payload: Decir adios es crecer, tx time: 16480 us
288813 Tx, payload: Decir adios es crecer, tx time: 16488 us
290830 Tx, payload: Decir adios es crecer, tx time: 16480 us
292849 Tx, payload: Decir adios es crecer, tx time: 16488 us
294866 Tx, payload: Decir adios es crecer, tx time: 16480 us
296886 Tx, payload: Decir adios es crecer, tx time: 16488 us
298903 Tx, payload: Decir adios es crecer, tx time: 16480 us
300922 Tx, payload: Decir adios es crecer, tx time: 16488 us
302940 Tx, payload: Decir adios es crecer, tx time: 16472 us
304959 Tx, payload: Decir adios es crecer, tx time: 16496 us
306976 Tx, payload: Decir adios es crecer, tx time: 16480 us
308996 Tx, payload: Decir adios es crecer, tx time: 16488 us
311013 Tx, payload: Decir adios es crecer, tx time: 16480 us
313032 Tx, payload: Decir adios es crecer, tx time: 16496 us
315049 Tx, payload: Decir adios es crecer, tx time: 16472 us
317069 Tx, payload: Decir adios es crecer, tx time: 16496 us
319086 Tx, payload: Decir adios es crecer, tx time: 16480 us
321105 Tx, payload: Decir adios es crecer, tx time: 16496 us
323123 Tx, payload: Decir adios es crecer, tx time: 16472 us
325142 Tx, payload: Decir adios es crecer, tx time: 16488 us
327159 Tx, payload: Decir adios es crecer, tx time: 16480 us
329179 Tx, payload: Decir adios es crecer, tx time: 16488 us
331196 Tx, payload: Decir adios es crecer, tx time: 16480 us
333215 Tx, payload: Decir adios es crecer, tx time: 16488 us
335233 Tx, payload: Decir adios es crecer, tx time: 16472 us
337252 Tx, payload: Decir adios es crecer, tx time: 16488 us
339269 Tx, payload: Decir adios es crecer, tx time: 16480 us
341288 Tx, payload: Decir adios es crecer, tx time: 16488 us
343306 Tx, payload: Decir adios es crecer, tx time: 16480 us
345325 Tx, payload: Decir adios es crecer, tx time: 16488 us
347342 Tx, payload: Decir adios es crecer, tx time: 16472 us
349362 Tx, payload: Decir adios es crecer, tx time: 16488 us
351379 Tx, payload: Decir adios es crecer, tx time: 16472 us
353398 Tx, payload: Decir adios es crecer, tx time: 16488 us
355416 Tx, payload: Decir adios es crecer, tx time: 16480 us
357435 Tx, payload: Decir adios es crecer, tx time: 16496 us
359452 Tx, payload: Decir adios es crecer, tx time: 16480 us
361472 Tx, payload: Decir adios es crecer, tx time: 16496 us
363489 Tx, payload: Decir adios es crecer, tx time: 16472 us
365508 Tx, payload: Decir adios es crecer, tx time: 16496 us
367525 Tx, payload: Decir adios es crecer, tx time: 16472 us
369545 Tx, payload: Decir adios es crecer, tx time: 16496 us
371562 Tx, payload: Decir adios es crecer, tx time: 16480 us
373581 Tx, payload: Decir adios es crecer, tx time: 16496 us
375599 Tx, payload: Decir adios es crecer, tx time: 16480 us
377618 Tx, payload: Decir adios es crecer, tx time: 16488 us
379635 Tx, payload: Decir adios es crecer, tx time: 16480 us
381655 Tx, payload: Decir adios es crecer, tx time: 16496 us
383672 Tx, payload: Decir adios es crecer, tx time: 16480 us
385691 Tx, payload: Decir adios es crecer, tx time: 16488 us
387708 Tx, payload: Decir adios es crecer, tx time: 16472 us
389728 Tx, payload: Decir adios es crecer, tx time: 16496 us
391745 Tx, payload: Decir adios es crecer, tx time: 16472 us
393764 Tx, payload: Decir adios es crecer, tx time: 16496 us
395782 Tx, payload: Decir adios es crecer, tx time: 16480 us
397801 Tx, payload: Decir adios es crecer, tx time: 16496 us
399818 Tx, payload: Decir adios es crecer, tx time: 16480 us
401838 Tx, payload: Decir adios es crecer, tx time: 16496 us
403855 Tx, payload: Decir adios es crecer, tx time: 16472 us
405874 Tx, payload: Decir adios es crecer, tx time: 16496 us
407891 Tx, payload: Decir adios es crecer, tx time: 16480 us
409911 Tx, payload: Decir adios es crecer, tx time: 16496 us
411928 Tx, payload: Decir adios es crecer, tx time: 16480 us
413947 Tx, payload: Decir adios es crecer, tx time: 16488 us
415965 Tx, payload: Decir adios es crecer, tx time: 16472 us
417984 Tx, payload: Decir adios es crecer, tx time: 16488 us
420001 Tx, payload: Decir adios es crecer, tx time: 16480 us
422021 Tx, payload: Decir adios es crecer, tx time: 16496 us
424038 Tx, payload: Decir adios es crecer, tx time: 16480 us
426057 Tx, payload: Decir adios es crecer, tx time: 16488 us
428075 Tx, payload: Decir adios es crecer, tx time: 16480 us
430094 Tx, payload: Decir adios es crecer, tx time: 16488 us
432111 Tx, payload: Decir adios es crecer, tx time: 16480 us
434130 Tx, payload: Decir adios es crecer, tx time: 16496 us
436148 Tx, payload: Decir adios es crecer, tx time: 16480 us
438167 Tx, payload: Decir adios es crecer, tx time: 16488 us
440184 Tx, payload: Decir adios es crecer, tx time: 16480 us
442204 Tx, payload: Decir adios es crecer, tx time: 16488 us
444221 Tx, payload: Decir adios es crecer, tx time: 16480 us
446240 Tx, payload: Decir adios es crecer, tx time: 16488 us
448258 Tx, payload: Decir adios es crecer, tx time: 16480 us
450277 Tx, payload: Decir adios es crecer, tx time: 16496 us
452294 Tx, payload: Decir adios es crecer, tx time: 16480 us
454313 Tx, payload: Decir adios es crecer, tx time: 16496 us
456331 Tx, payload: Decir adios es crecer, tx time: 16480 us
458350 Tx, payload: Decir adios es crecer, tx time: 16496 us
460367 Tx, payload: Decir adios es crecer, tx time: 16480 us
462387 Tx, payload: Decir adios es crecer, tx time: 16496 us
464404 Tx, payload: Decir adios es crecer, tx time: 16472 us
466423 Tx, payload: Decir adios es crecer, tx time: 16496 us
468441 Tx, payload: Decir adios es crecer, tx time: 16480 us
470460 Tx, payload: Decir adios es crecer, tx time: 16496 us
472477 Tx, payload: Decir adios es crecer, tx time: 16480 us
474497 Tx, payload: Decir adios es crecer, tx time: 16496 us
476514 Tx, payload: Decir adios es crecer, tx time: 16480 us
478533 Tx, payload: Decir adios es crecer, tx time: 16488 us
